Metric,Value
Persons Tracked,54
Cars Tracked,14
Trucks Tracked,1
Buses Tracked,0
Motorcycles Tracked,0
Bicycles Tracked,0
Vehicles IN,0
Vehicles OUT,0
Average FPS,4.97
